Stages,Date,Investors,Company,Industry,Investment Amount
Seed,09-09-2021,"Shaw and Partners,Blockchain Assets,M.H. Carnegie & Co.,Quinoa Group",Crypto Gaming United,Gaming,5000000
Series A,19-10-2021,"Dapper Labs,Animoca Brands,Anthos Capital,Appworks,Blockchain Coinvestors,Fabric Ventures,Hashkey Capital,Liberty
  City Ventures,PKO Investments,Polymorphic Capital,Protocol Labs,Spartan Group,Jeff Zirlin,Gabby Dizon,Vinny Lingham,Kevin Lin,Onefootball,Red Beard Ventures",Concept Art House,Gaming,25000000
Seed,19-10-2021,"Master
  Ventures,AU21 Capital,Poolz Ventures,BullPerks,X21 Digital,OIG Investment Group,Panda Capital,Shima Capital,LVT Capital,Otis Capital,Lotus Capital",Chimeras,Gaming,2000000
Unknown,20-10-2021,"Index Ventures,Founders Fund,Craft Ventures,Galaxy Digital,The Chainsmokers,Kakao Investment,LINE Friends,Electric Feel Entertainment,Day One Ventures,Betaworks,Sean Qiao Ventures,Cyan Bannister,Jared Leto,Justin Timberlake,Scooter Braun,Scott Belsky,GV",Superplastic,Entertainment,20000000
Seed,20-10-2021,"Polygon,AU21 Capital,BSCStation,Defiboost,Aussie Capital,OIG Investment Group,Brotherhood,Avstar Capital,Shima Capital,Basics Capital,Momentum
  6,Crypto Thugs Capital,Fairum Ventures,Panda Capital,Onebit Ventures,GD10
  Ventures,ExNetwork Capital,Chronos
  Ventures,MEXC Exchange",Gaia EverWorld,Gaming,3700000
Seed,21-10-2021,"Solana Ventures,Republic,NFX,iAngels Technologies,LongHash Ventures,Shalom Meckenzie,Jump Capital,ZBS Capital,MarketAcross,CMS Holdings,Morningstar Ventures",MonkeyLeague,Gaming,3000000
Unknown,20-10-2021,"Liberty
  City Ventures,Ubisoft,Sequoia Capital,Dragonfly Capital,Com2uS,Kingsway Capital,10T Fund,Token Bay Capital,Smile Group,Tess Ventures,MSA Capital,Adit Ventures,Summer Capital,Sigitech Holdings,Black Anthem LTD,Justin Sun,Octava ",Animoca Brands,"Gaming, Metaverse",65000000
Unknown,21-10-2021,Paradigm,Parallel,Gaming,50000000
Unknown,20-10-2021,"Raptor Capital,CinchBlock,X21 Digital,CoinUnited Capital,Double
  Peak,Magnus Capital,Everse Capital,Infinity Gainz,IceTea Labs,Mr. Beast",Metawars,Gaming,2300000
Seed,24-10-2021,"AC Capital,AU21 Capital,ExNetwork Capital,IceTea Labs,Kyros
  Ventures,LD Capital,LucidBlue Ventures,Megala
  Ventures,Metrix Capital,X21 Digital,IoTeX,ReBlock Digital,Roseon Finance,ZBS Capital,TK Ventures,VBC Ventures,Dutch
  Crypto Investors,BCA Investments",PlaceWar,Gaming,1800000
