Stages,Date,Investors,Company,Industry,Investment Amount
Seed,26-04-2022,"BITKRAFT Ventures,Arca,Galaxy
  Interactive,Com2uS,Huobi Capital,Spark
  Digital Capital,Blocktower Capital,Infinity Ventures Crypto,Morningstar Ventures,Sangha Capital,Mentha Partners,Valhalla Capital,Actai Ventures,Polygon,Crypto.com Capital,TheVentureCity,YGG SEA,IndiGG,Bitscale Capital,Fir Capital,Cultured,YG",Ola Guild Games,"Guild, Gaming",8000000
Seed,21-04-2022,"Cultur3 Capital,Jeff Kuan,Thomas Vu,Infinity Ventures Crypto,Daniel Sommer,Mike Ouye,Kevin Lin,Maveron,Hubert Thieblot,Momentum
  6,Hypersphere Ventures,Sfermion,Moon Holdings,Taureon Capital,Dan Dinh,Alex Chung,Don Ho,Angel X,Jason Lau",Oni Squad,Gaming,2000000
Pre-Seed,20-04-2022,"Ukrainian Startup Fund,SID Venture Partners,Geek Ventures",V-Art,"Marketplace, Art",400000
Seed,21-04-2022,"Greylock Partners,Human Capital,Kevin Yorn,Michael Ovitz,Abe Burns,Phil Hellmuth",Kangaroo,Gaming,3300000
Seed,26-04-2022,"Animoca Brands,Ascensive Assets,Jump Crypto,Formless Capital,Mechanism Capital,OP Crypto,ROK Capital,Shima Capital,Fundamental Labs,LongHash Ventures,Infinity Ventures Crypto,Morningstar Ventures,Third Prime,Ellipti,Woodstock Fund,Genblock Capital,Merit Circle,Evernew
  Capital,PANONY,YGG SEA,D1 Ventures,Play Ventures,8186 Capital,Cozomo de Medici,C² Ventures",SNACKCLUB,Gaming,9000000
Seed,26-04-2022,"Tiger Global Management,Winklevoss Capital,FTX,BlockFi,Cadenza Ventures,Republic,Electric Feel Entertainment,Lightbank,Shima Capital,Pluto
  Digital Assets,CMS Holdings,Alumni Ventures Group,Mirana Ventures,Third Prime,PJC,Global Founders Capital",GamerGains,Gaming,5800000
Seed,27-04-2022,"BITKRAFT Ventures,1kx,Cherry Ventures,Ethereal Ventures,Play Ventures",Playmint,"Studio, Gaming",4000000
Series C,27-04-2022,"Amber
  Group,Jump Crypto,Access Ventures,Circle,Com2uS,Dentsu Ventures,Fenbushi Capital,JAFCO,PKO Investments,Polygon,Protocol Labs,Wemade  ,Infinity Ventures Crypto,Next Web Capital,Z Venture Capital,Arriba Studio",double jump.tokyo,"Gaming, Studio",25000000
Seed,27-04-2022,"Harlem Capital,Presight Capital,CapitalT VC,Ted Lucas,Guggenheim Museum,Pérez Art Museum Miami,Alexandra Wilkis Wilson",Mueshi,"Marketplace, Art",3300000
Strategic,27-04-2022,KuCoin Ventures,SakuraVerse,"Infrastructure, Gaming, Metaverse",1000000
Seed,28-04-2022,"Infinity Ventures Crypto,Animoca Brands,Cherubic Ventures,Circle,FBG Capital,Highstreet,HTC,Jump
  Trading,North Island Ventures",OurSong,"Music, Infrastructure, Art",7500000
Unknown,29-04-2022,"Mirana Ventures,Superchain Capital,Hashkey Capital,Bonfire Union,Robin Song,UOB Venture,Draper Dragon,Signum Capital,Zhu Deming,ByC",Rivermen,"Metaverse, Gaming",4500000
Strategic,28-04-2022,Solana Ventures,YGG SEA,"DAO, Gaming, Metaverse",500000
Seed,04-05-2022,"Dreamcraft,Dapper Labs,Web3 Studios,BLN Capital,Cesc Fàbregas,Joshua Kimmich,Robert Kovač,Niko Kovač",The Football Club,"Sports, Gaming",2650000
Pre-Seed,05-05-2022,"LongHash Ventures,Insignia Ventures Partners,CyberConnect,BitCoke,FSC Ventures,Monad Labs,7 O'Clock Capital",Particle Network,"Infrastructure, Gaming",1800000
Seed,05-05-2022,"White Star Capital,Stake Capital Group,Serena Ventures,Shima Capital,IDEO Colab Ventures,Ubisoft",Cometh,Gaming,10000000
Strategic,04-05-2022,"11:11 Media,Mark Cuban,Tony Robbins,Pitbull,Steve Aoki,gmoney ",immi,Entertainment,
Seed,05-05-2022,"Paradigm,Andreessen Horowitz,Y Combinator,Vivi Nevo,Jiho Zirlin,Aleksander Larsen,The Chainsmokers,Mantis VC,Human Capital,William Hockey,Roham Gharegozlou,Ram Parameswaran,Ruchi Sanghvi",LootRush,Gaming,12000000
Seed,05-05-2022,"Pantera Capital,Framework
  Ventures,Animoca Brands,Jefferson Capital,Double
  Peak",InfiniGods,"Gaming, Studio",9000000
Unknown,06-05-2022,"Jump Crypto,Tribe Capital,Republic",Hike,"Gaming, Studio",
Series A,05-05-2022,Animoca Brands,Untamed Planet,"Gaming, Metaverse",24300000
Unknown,06-05-2022,"BITKRAFT Ventures,Hashed,Tribe Capital,IOSG Ventures,Spartan Group,Mapleblock Capital,Mulana, DWeb3 Capital,Fundamental Labs,GSR,Polygon,SnackClub,Warburg Serres,Israeli Blockchain Association",Ready Games Network,"Tooling, Gaming",3000000
Series A,09-05-2022,"Andreessen Horowitz,Michael Ovitz,Sonam Kapoor,Solana Ventures,The Chainsmokers,Mantis VC,Advancit Capital,KeenCrypto,Capitoria,Unlock Venture Partners,Infinity Ventures Crypto",MechaFightClub,"Gaming, Metaverse",40000000
Strategic,06-05-2022,"SK Telecom,SK Square",Haegin,"Gaming, Metaverse, Studio",39000000
Series B,20-04-2022,"BITKRAFT Ventures,Galaxy
  Interactive,Lilith Games,Gaingels,Kakao Games",Playable Worlds,"Gaming, Metaverse, Studio",25000000
Strategic,02-05-2022,CJ ENM,Hyperreal,"Metaverse, Media, Entertainment",
Unknown,09-05-2022,"HG Ventures,IOST Foundation,Mindfulness Capital",King of Planets,Gaming,
Strategic,09-05-2022,"Kosmos Ventures,Sino Global Capital,Shima Capital,Petrock Capital,Morningstar Ventures,32-Bit Ventures,Crypto.com Capital,Tess Ventures,Master
  Ventures,Wave 7,Ancient8,Drops Ventures,Andromeda Capital,Salad Ventures,Moonchain Capital,SnackClub,Joel Madden,A$AP Lou,Arnold Poernomo,CAGYJAN,Sol Legend,Koroush Khaneghah,CryptoLark,DataDash",Nyan Heroes,Gaming,7500000
Seed,10-05-2022,"Shima Capital,AVA Labs,Blizzard Fund,Nexo,Avalaunch,AVentures DAO,COLONY,GBV
  Capital,SPEC Capital,Muhabbit Capital, DWeb3 Capital,Hailstone Ventures,GreenHorns Capital,Keychain Capital,AscendEX",TimeShuffle,Gaming,2100000
Seed,11-05-2022,"Dragonfly Capital,Polychain Capital,Coinbase Ventures,Three Arrows Capital,DeFiance Capital,Mechanism Capital,Fourth
  Revolution Capital,Infinity Ventures Crypto,Gabby Dizon,Jeff Zirlin,Ryan Wyatt,Jon Lai,Naval Ravikant,The Chernin Group",Branch,"Metaverse, Gaming",12500000
Unknown,13-05-2022,"Vendetta
  Capital,IceTea Labs,Animoca Brands,Morningstar Ventures,Paribu Ventures,FOMOCraft  Ventures,Gains Associates,AU21 Capital,Gate.io,Good Games Labs,Polka City,RBL Labs,Momentum
  6,ZBS Capital,Parachain Ventures,Avstar Capital,BreederDAO,Tuzanye Game Guild,Kieran Warwick,Sami Chlagou,Yuen Wong,Sam Ong,Tehmoonwalker,Bridge Mutual,Cryowar",The Unfettered,"Gaming, Metaverse",2500000
Series A,16-05-2022,"Andreessen Horowitz,Pantera Capital,FTX,Breyer Capital,Merit Circle,Global Coin Research,Sfermion,Daedalus Angel Syndicate,Dragonfly Capital,Recharge Capital",DuskBreakers,"Gaming, Metaverse",24000000
Seed,16-05-2022,"Stillmark,Velo Partners,Fulgur Ventures,LVP,Initial Capital",Pnkfrg,"Gaming, Studio",3000000
Seed,12-05-2022,"White Star Capital,Progression Fund,Eterna Capital,Play Ventures,Mindset Ventures,Xoogler Ventures",Sizzle.gg,"Gaming, AI, Tooling",5000000
Series A,18-05-2022,"Griffin Gaming Partners,Kleiner Perkins,Galaxy
  Interactive,Floodgate,Kip,LLL Capital,N3TWORK",N3twork Studios,"Gaming, Studio",46000000
Unknown,18-05-2022,"Galaxy
  Interactive,Animoca Brands,Republic,Hashed,SkyVision Capital,Tamarack Global,C2X,Polygon,Kevin Lin,ChangHan Kim,JJ Redick,Andre Igoudala,Trevor McFedries,Raihan Anwar,Colby Holliday,Tucker Boner",FreshCut,Gaming,15000000
Unknown,11-05-2022,Dapper Labs,Zeedz,Gaming,
Seed,19-05-2022,"Andreessen Horowitz,NFX,Coinbase Ventures,Play Ventures,Franklin Templeton Investments,Justin Kan,Gabby Dizon,Roham Gharegozlou",Azra Games,"Gaming, Studio",15000000
Pre-Seed,20-05-2022,"Delphi Digital,PathDAO,Blockchain Space,Darryl Wang,Jason Choi,Gabby Dizon,Statelayer,0xMaki,Sam Kazemian,Tascha Punyaneramitdee,Nick Tong,Isaac Zu,Ken Chan",Voyage Finance,"Lending/Borrowing, Gaming",1000000
Series B,23-05-2022,"Sequoia Capital,ClearVue Partners,NetEase,Northern Light Venture Capital,GGV Capital,Qiming Venture Partners,Source Code Capital",BUD,"Social network, Metaverse, Gaming",36800000
Seed,17-05-2022,,Joystick,"Metaverse, Gaming, Yield",8000000
Unknown,23-05-2022,Gem Capital,GEMS,"Gaming, Sports, Metaverse, Aggregator",50000000
Seed,25-05-2022,"Makers Fund,BITKRAFT Ventures,Delphi Digital,Animoca Brands,Shima Capital,Huobi Capital,Spartan Group,Ascensive Assets,Yield Guild Games,Jump
  Trading,Republic,CMT Digital,WWVentures,SnackClub,Sino Global Capital,BreederDAO,Unanimous Capital,TPS Capital,Avocado DAO,Infinity Ventures Crypto,YGG SEA,Unix,Solidity Ventures,Formless Capital,Double
  Peak, DWeb3 Capital,Skynet Trading,TYR Capital,Big Brain Holdings,Polkastarter,Cryptology,Immutable ,Oddiyana Ventures,Seascape",Blocklords,Gaming,15000000
Series A,25-05-2022,"Hiro Capital,Acequia Capital,Venrex,Gapminder VC",Machinations,"Gaming, Tooling",3300000
Series A,24-05-2022,Animoca Brands,Cinder Studios,"Metaverse, Gaming",
Seed,26-05-2022,"Elrond,Mechanism Capital,Crypto.com Capital,Animoca Brands,Morningstar Ventures,GBV
  Capital,Merit Circle,Skynet EGLD Capital,ExNetwork Capital,PathDAO,Good Games Guild,Egld.gg,Chingari",Cantina Royal,Gaming,4500000
Unknown,04-05-2022,KOREIT,Frutti Dino,Gaming,3100000
Unknown,31-05-2022,"NFX,Playstudios,Griffin Gaming Partners,Tal Ventures,Vikram Pandit",Kryptomon,Gaming,10000000
Pre-Seed,30-05-2022,"Animoca Brands,Venrex,K3 Ventures,WinZO,Jas Purewal,Phil Mansell,AngelHub",Playken,"Gaming, Avatar",2300000
Seed,25-05-2022,"General Catalyst,Better Capital,Eximius Ventures,Aadil Mamujee,Nakul Gupta",Stan,"Sports, Gaming, Collectibles",2400000
Unknown,31-05-2022,"Alliance DAO,Genblock Capital,Jump Capital,C² Ventures,Kyros
  Ventures,NGC Ventures,PANONY,Petrock Capital,Polygon,Shima Capital,Avocado DAO,Rainmaker Games,Nick Chong,Jack Teoh,Santiago R. Santos,Cozomo de Medici,Peter Ing",Chibi Clash,Gaming,3000000
Seed,01-06-2022,"Hashkey Capital,Polygon,Tian Ge Interactive,AKG Ventures,LinkVC,Arcanum Capital,Atlas Capital,Crypto Nord,PlayPark,MX Investments,One Block Capital,AW Capital,Phemex Venture,Winston International,Gene Vision,Yield Master",Revoland,Gaming,10600000
Seed,01-06-2022,"Infinity Ventures Crypto,Shima Capital,Morningstar Ventures,GHAF Capital Partners,Huobi Capital,Dex Ventures,Yield Guild Games,YGG SEA,Big Brain Holdings,Moonchain Capital,Moon Holdings,OliveX,Genblock Capital,NFT Technologies,SnackClub",Walken,Gaming,4700000
Seed,02-06-2022,"PDAX,OrangeDAO,Buko Ventures,Justin Mateen,Aaron Kemmer,Nina Teng,Yaw Yeo,Ray Alimurung,Wing Vasiksiri",Playdex,"Lending/Borrowing, Marketplace, Gaming",2000000
Series B,01-06-2022,"JAFCO,SBI Investments,KDDI,STRIVE VC,Bandai Namco Entertainment",Gaudiy,Entertainment,19203000
Seed,03-06-2022,"Animoca Brands,GameFi Ventures,KuCoin Ventures,JellyC,Sfermion,Polygon Studios,Metavest Capital,SL2
  Capital, DWeb3 Capital,Spark Capital,Fundamental Labs,OIG Investment Group,MEXC Exchange,LucidBlue Ventures,IQ Protocol,Rendezvous Equity,Paribu Ventures,Crypto Gaming United  (CGU),DuckDAO,Pylon Labs,Prometeus Labs,Vendetta
  Capital",The Red Village,Gaming,6500000
Seed,06-06-2022,"Blocore,Supercell,Pantera Capital,Animoca Brands,Griffin Gaming Partners,Sweet Farm,Ian Livingstone,Phil Mansell,Daniel Engelhardt,Juha Paananen,Charlie Songhurst,Cristian Manea",Moonfrost,Gaming,4500000
Seed,08-06-2022,Andreessen Horowitz,Adim,Entertainment,5000000
Seed,09-06-2022,"DeFiance Capital,Delphi Digital,BITKRAFT Ventures,Binance Labs,Animoca Brands,Dialectic Capital,Mechanism Capital,Folius Ventures,Big Brain Holdings,Coinhako,GuildFi,Mintable,SnackClub,Ancient8,Yield Guild Games,Merit Circle,Avocado DAO,Kenneth Cron,Chris Lee,Thomas Vu,Buddy Marini,Holly Liu,Kevin Lin,Kun Gao,Kent Wakeford,Zhuoxun Yin,Pim de Witte,Ray Chan,Patrick Lee",Tatsumeeko,Gaming,7500000
Seed,09-06-2022,"Griffin Gaming Partners,Powerhouse Capital,Michael Eisner,Steve Kaplan,Bennett Rosenthal",SuperTeam Games,"Studio, Gaming",10000000
Pre-Seed,09-06-2022,SuperLayer,Gambit,"Gaming, Sports",1500000
Seed,09-06-2022,"Kyber Network,TomoChain,HUB Global,BORA,Amanotes,WEMIX,Lua Ventures,Kardia Ventures,Sandbox Network,FIM Ventures",Cadenverse,"Music, Entertainment",4000000
Seed,10-06-2022,"Jonathan Cogley,Thomas Vu,Anthony Borquez,Craig Brennan,Brad Powers",Haste Arcade,"Gaming, Rewards, Infrastructure",1500000
Seed,09-06-2022,"KuCoin Labs,Everest Ventures,Ankr",Superpower Squad,Gaming,
Unknown,10-06-2022,"Sandworm Capital,Metabase",Sealem Technology,"Infrastructure, Gaming",2000000
Seed,13-06-2022,"Sfermion,Animoca Brands,Collab+Currency,FBG Capital,Alumni Ventures Group,Red Beard Ventures, DWeb3 Capital,LD Capital,GSR,CoinGecko Ventures,Avocado DAO,Unix,Spark
  Digital Capital,Tectona,Coral Capital Solutions,Capital6,Block 3 Ventures ( B3V ),Schams Ventures,Mako Trading,Alan Howard",Atmos,"Gaming, Metaverse, Sports",11000000
Debt Financing,06-06-2022,,FYX Gaming,"Gaming, Infrastructure",1000000
Series A,14-06-2022,"Paradigm,Griffin Gaming Partners,Sabrina Hahn",Wildcard,Gaming,46000000
Unknown,14-06-2022,"Cassius Family,Global Founders Capital,Greenfield One,Blockwall,Moonfire Ventures,Kima Ventures,Kraken,Stake Capital Group,Gains Associates",Immortal Game,Gaming,
Unknown,10-06-2022,Merit Circle,GMATRIXS,"Gaming, Infrastructure",250000
Seed,15-06-2022,"Animoca Brands,GameFi Ventures,Gemini ,Jane Street Capital,Adit Ventures,Merit Circle,Nexo,Hex Trust,Superchain Capital,The Seelig Group",Kaleidoco,"Entertainment, AR/VR, Metaverse",7000000
Seed,15-06-2022,"Animoca Brands,Delta Blockchain Fund,Genblock Capital,Moonchain Capital,Compute Ventures,NGC Ventures,M31 Capital,PANONY,Rainmaker Games,Everest Ventures,TsingTing Capital,vEmpire,SL2
  Capital,AAG Ventures,Metal VC,Highstreet",Soulbound,"Metaverse, Gaming, Tooling",3600000
Seed,16-06-2022,"Solana Ventures,Alameda
  Research,Lightspeed
  Venture Partners",Earth From Another Sun,Gaming,4500000
Series A,16-06-2022,"Andreessen Horowitz,David Baszucki,Supercell,Hilmar Veigar Pétursson,David Helgason",BitCraft,Gaming,22000000
Seed,18-06-2022,"First Round Capital,XYZ Capital,Moment,Alec Berg,Mike Judge,Craig Mazin,Malcolm Spellman,Karyn Kusama",Terrible Pets,"Tooling, Entertainment",4000000
Unknown,21-06-2022,"Huobi Capital,Cypher Capital,GSR,LD Capital,Cogitent Ventures,Lead Capital,Rich Fish Investment,Decentralized,Zhang Fan,Big Success Global",MetaOne,"Gaming, Metaverse",2000000
Unknown,13-09-2022,"Seven Seven Six,Acrew Capital,FTX,10T Fund",Doodles,"Collectibles, Entertainment",54000000
Series A,23-06-2022,"Andreessen Horowitz,Dapper Labs,Draper Associates,Acrew Capital,CoinFund,Animoca Brands,Sound Ventures,Mattel,Miami Angels,Flamingo Capital,Mark Kingdon,Adriana Cisneros",Cryptoys,Gaming,23000000
Unknown,24-06-2022,"Multicoin Capital,Delta Blockchain Fund,Puzzle Ventures",EyesFi,"Entertainment, Rewards",2000000
Unknown,27-06-2022,VinaCapital Ventures,M3TA,"Data, Analytics, Gaming",
Seed,27-06-2022,"Animoca Brands,DeFiance Capital,Play Ventures,GuildFi,Avocado DAO,PathDAO,Double
  Peak, DWeb3 Capital,Planetarium",Stella Fantasy,Gaming,5000000
Pre-Seed,27-06-2022,"Jeremy Bendayan,Kima Ventures,Monoceros,OWL Ventures,Stake Capital Group,Cowa Ventures,Blue
  Wire Capital,Sebastien Borget,Adrien Montfort,Guillaume Lestrade,Julien Bouteloup,Alexandre Ichai,Romain Afflelou,Samir El Agili,Cyril Hanouna,Mouloud Achour,gmoney ,Michael Amar,Guillaume Sztejnberg,Batuhan Dasgin,Karl-Martin Ahrend,Josef Bovet,Scott Gordon,Gregoire le Jeune,Didier Rosenberg,Marjorie Fourcade,Gustavo Mana,Gilad Engel,Barthelemy Kiss ,Clarisse Grilhault,Geoffrey Perez,Michael Bouhanna",RLTY,"Metaverse, Entertainment, Infrastructure",4230000
Seed,27-06-2022,"Shima Capital,Big Brain Holdings,Anti Fund,Cryptology,BreederDAO,Master
  Ventures,Metavest Capital,Andromeda Capital,Miko Matsumura,Pulse Ventures,Polygon",Mech.com,Gaming,6000000
Unknown,25-06-2022,"Huobi Capital,Mirana Ventures",Game Space,Gaming,10000000
Unknown,06-07-2022,True Global Ventures,Enjinstarter,"Gaming, Launchpad",5000000
Seed,06-07-2022,"Cherry Ventures,Cassius Family,Seedcamp,Playfair Capital",Cauldron Studios,Gaming,6600000
Unknown,06-07-2022,"Coatue
  Management,Dapper Labs",,Gaming,3000000
Series A,06-07-2022,"Animoca Brands,Krust,SamsungNext,WEMIX",Planetarium,Gaming,32000000
Seed,06-07-2022,"NEAR,Octopus Network,Fusotao,Big Brain Holdings,Cogitent Ventures,2Moon Capital",PORTALVERSE,"Metaverse, Cloud computing, Gaming",
Unknown,28-07-2022,"M13,Spartan Group,ClearVue Partners,6th Man Ventures,Axia8
  Ventures,Krypital Group,Red Building Capital,Cobo Wallet,Bas1s Ventures,Balthazar,Paris Hilton,Mr. Block,Kyoko",E4C: Final Salvation,Gaming,
Unknown,07-07-2022,SamsungNext,Genopets,Gaming,
Seed,11-07-2022,"Solana Ventures,6th Man Ventures,Shima Capital,Justin Kan,Sino Global Capital",BR1 Game,Gaming,3000000
Unknown,07-07-2022,MH Ventures,Mirror World,Gaming,
Unknown,08-07-2022,"Infinity Ventures Crypto,Animoca Brands,Yield Guild Games,YGG SEA,Akatsuki,Doublejump.tokyo,CryptoGames Inc.,Arriba Studio,Kiii,Days!,Hironao Kunimitsu,Kazutaka Mori,Hiroyuki Miyake",YGG Japan,"Gaming, DAO",2800000
Seed,12-07-2022,"Mirana Ventures,Kernel Ventures,Mint Ventures,CryptoJ,Ventory Labs",Monopoly Millionaire Game,Gaming,1000000
Unknown,12-07-2022,"Liberty
  City Ventures,Kingsway Capital,Alpha Wave Global,10T Fund,Generation Highway,SG Spring Limited Partnership Fund,Cosmic Summit",Animoca Brands,"Metaverse, Gaming",75320000
Seed,13-07-2022,"Offline Ventures,The Chernin Group,NFX,Freestyle Capital,Coinbase Ventures,Not Boring Capital,Precursor Ventures,Chainforest,Coil,Julia Lipton,Joe McCann,Adamant Ventures,Awesome People Ventures,Reverb Ventures,Darling Ventures,Parade Ventures,Paul Veradittakit,Leore Avidar,Spice Capital,Chris Cantino,Marty Bell,Flexx Chapman,Commodore,Ethan Beard,Sarah Gibson,Saltwater",Arkive,"Art, Collectibles, Real world assets",9700000
Series A,14-07-2022,"Griffin Gaming Partners,Maverick Ventures Israel,Drive by DraftKings,Vgames,Max Stealth,6th Man Ventures",MonkeyLeague,Gaming,24000000
Unknown,14-07-2022,GEM Global Emerging Markets,Scorefam,Gaming,25000000
Unknown,15-07-2022,LDA Capital,Realm,"Gaming, Metaverse",10000000
Seed,14-07-2022,"Zee
  Prime Capital,Atka,Merit Circle,CitizenX Crypto Ventures,Moonlanding Ventures,Petrock Capital",CLUB,"Gaming, Sports",3100000
Seed,19-07-2022,"AVATAR,KuCoin Ventures,Hashkey Capital",FitR,"Sports, Entertainment",
Seed,13-07-2022,Alliance DAO,Leather Corp,"Rewards, Entertainment",
Seed,13-07-2022,Alliance DAO,LF Labs,Gaming,
Unknown,23-07-2022,Telefonica Innovation Ventures,Gamium,"Metaverse, Gaming",
Seed,26-07-2022,"Framework
  Ventures,Mirana Ventures,Sfermion,Spartan Group,Dune Ventures,Sanctor Capital,Folius Ventures,Polygon,Play Future Fund,Everblue Management,Ancient8,Ready Player DAO,Razer,Avocado DAO, DWeb3 Capital,GSG | Great South Gate,Mr. Block",Mighty Action Heroes,Gaming,10000000
Pre-Seed,19-07-2022,"Solana Ventures,Blocore,Infinity Ventures Crypto,Planetarium,Joonmo Kwon,Jin Bae,Loi Luu",Astro Space,Gaming,
Seed,19-07-2022,,FITCHIN,Gaming,3500000
Seed,14-07-2022,"Tinie Tempah,Real Ventures",Peggy,"Marketplace, Art",6000000
Pre-Seed,28-07-2022,"Raza Beig,Sheikh Hend Al Qassemi",Artfi,"Marketplace, Art",3260000
Seed,28-07-2022,"XSGames,Game Sparks,Game Dreamer",Vegas One,"Gaming, Betting",50000000
Unknown,29-07-2022,,Genesis Universe,Gaming,2000000
Series A,28-07-2022,"Griffin Gaming Partners,Comcast Ventures,SamsungNext,Vice Ventures,WndrCo,Sharp Alpha Partners,True Capital Management,Myles Garrett,Josh Norman,Breanna Stewart,AlleyCorp",The Players' Lounge,"Gaming, Rewards",10500000
Pre-Seed,26-07-2022,"MEXC Exchange,3Commas,Orbs,Hexit Capital,TONcoin.fund",Fanzee,"Sports, Gaming",2000000
Seed,27-07-2022,"BITKRAFT Ventures,Fabric Ventures,Geometry,Sfermion",dNo,Gaming,5600000
Seed,27-07-2022,,Tokie Farm,"Gaming, Entertainment",500000
Series A,27-07-2022,GEM Global Emerging Markets,Crypto SNACK,"Gaming, Payment",50000000
Seed,26-07-2022,"Borderless Capital,Pillar VC,Yieldly",Alchemon,Gaming,1000000
Seed,02-08-2022,"Andreessen Horowitz,Y Combinator,Founders, Inc.,Todd and Rahul's Angel Fund,Balaji Srinivasan,Zaza Pachulia",Gym Class,"Gaming, AR/VR, Metaverse",8000000
Seed,04-08-2022,"Andreessen Horowitz,Hashed,A_capital,SVAngel,Immersion Partners,Sabrina Hahn",Halliday,"Gaming, Lending/Borrowing",6000000
Seed,08-08-2022,"Galaxy
  Interactive,Delphi Digital,Dragonfly Capital,Mechanism Capital,Infinity Ventures Crypto,Shima Capital,Com2uS,Akatsuki,Ascensive Assets,Bitscale Capital,Yield Guild Games,BreederDAO,Mentha Partners,Emfarsis",MetaverseGo,"Gaming, Mobile",4200000
Seed,09-08-2022,"Blocore,FTX,GuildFi",Nerdystar,Gaming,5800000
Unknown,10-08-2022,"Republic
  Labs,Griffin Gaming Partners,Animoca Brands,Jump Crypto,Raptor Group,CoinFund,Shima Capital,Dominance Ventures,GSR,KuCoin Labs,Spartan Group,AlphaCrypto Capital,Blizzard Fund,Digital Strategies,Morningstar Ventures,Gamegroove Capital,Huobi Capital,Justin Kan",Gunzilla Games,Gaming,46000000
Pre-Series A,09-08-2022,"Square Peg,BEENEXT,Hashed,Tiger Global Management,Better Capital,Balaji Srinivasan,Paul Veradittakit,Binny Bansal,Bobby
  Ong,TM Lee",Lysto,Gaming,12000000
Seed,03-08-2022,"KuCoin Labs,PrimeBlock Ventures,Oddiyana Ventures,Arcanum Capital",PlayZap,Gaming,
Unknown,10-08-2022,Gelişim Group,Yin Yang Games,Gaming,1000000
Unknown,15-08-2022,"Incubate Fund,Skyland Ventures,Mint Ventures",Murasaki B.V.,Gaming,1523000
Unknown,17-08-2022,"StarkWare,Big Brain Holdings,Geometry,Road Capital,Delphi Digital,BITKRAFT Ventures,1kx,Fabric Ventures,Lemniscap,Mirana Ventures,Chapter One,NeonDao,C² Ventures,Ready Player DAO",MatchboxDAO,Gaming,7500000
Unknown,18-08-2022,"7 O'Clock Capital,Monday Capital,Block Pulse,BKEX,MG Capital",BovineVerse,Gaming,1940000
Series A,19-08-2022,"DAOL Ventures,Audacity Venture Capital,Infoedge Ventures,Mistry Ventures",Rusk Media,"Gaming, Intellectual property",9500000
Unknown,22-08-2022,Griffin Gaming Partners,Gallium Studios,"Gaming, Studio",6000000
Series A,23-08-2022,"Section 32,Intel Capital,Founders Fund,Accelerator Investments LLC,First Spark Ventures,Kleiner Perkins,BITKRAFT Ventures,CRV,M12,Micron Ventures,LG Technology Ventures,SK Telecom,NTT Docomo Ventures,The Venture Reality Fund",Inworld AI,"AI, Gaming, AR/VR, Metaverse",50000000
Unknown,23-08-2022,"Rising Capital,BR Capital,NGC Ventures",Yesports,Gaming,3800000
Unknown,26-08-2022,"Animoca Brands,MUFG ",Animoca Brands KK,"Metaverse, Gaming",45000000
Unknown,30-08-2022,"FunPlus,Makers Fund,FTX,Hashkey Capital,Foresight Ventures,Infinity Ventures Crypto,Matrix Partners,Animoca Brands",Xterio,Gaming,40000000
Unknown,29-08-2022,"Buckley Ventures,Paradigm,FTX,Coinbase Ventures,Shervin Pishevar,Anthos Capital,SV Angel,Standard Crypto",Limit Break,Gaming,200000000
Seed,03-09-2022,"Rus Yusupov,ParaFi Capital,Dragonfly Capital,Delphi Digital,Uniswap,gmoney ,Collab+Currency,Milk Road,Ready Player DAO,Zedd Yin",Internet Game,Gaming,7000000
Seed,05-09-2022,"WEMIX,Tess Ventures,LD Capital,gumi Cryptos,Taureon Capital,Hashkey Capital,African Founders Launchpad Limited,Polygon Studios,IndiGG,Casper Johansen",Metaverse Magna,"Gaming, DAO",3200000
Seed,07-09-2022,"Blockchain Capital,Merit Circle,Com2uS,MystenLabs,Solana Ventures,Yield Guild Games,Hustle Fund",Gameplay Galaxy,Gaming,12800000
Series A,09-09-2022,"Pantera Capital,Animoca Brands,Polygon,Dapper Labs,Kenetic, DWeb3 Capital,Dan Houser,Parmanens Capital Partners,Kenetic Capital,Sarmayacar",Revolving Games,Gaming,25000000
Pre-Seed,14-09-2022,"SamsungNext,GSR,Alex Chung,Scott Belsky",Hypersonic Laboratories,"Metaverse, Gaming",3500000
Unknown,21-09-2022,"Kima Ventures,TCG Crypto,Alven,Moonfire Ventures,Spice Capital,Kraken,Blockwater Capital,Thirty Five Ventures (35V),Sparkle Ventures",Immortal Game,Gaming,15500000
Series A,21-09-2022,SkyBridge Capital,Vulcan Forged,Gaming,8000000
Seed,21-09-2022,"David Jones,Resolute Ventures,Asymmetric,Ignia,2PunksCapital,ID345,Polygon",Random Games,Gaming,7600000
Series B,22-09-2022,"Makers Fund,NEA,Andreessen Horowitz",Theorycraft,Gaming,50000000
Series A,04-10-2022,"Brevan Howard  ,Morgan
  Creek Digital,Take-Two Interactive Software Inc.,Polygon,Ubisoft,Xsolla,BITKRAFT Ventures,Initialized Capital,Quantstamp,Everyrealm,Sky9 Capital,Round13 Capital,The Xchange Company,Translink Capital,CMT Digital,J17 Capital,Sentiment Capital,Perpetual Value Partners,Unicorn Partners,Tobias Lütke,Satish Kanwar,Sebastien Borget,Alex Adelman,Michael Arnold,Anthony Sassano ,Aleksander Larsen",Horizon Blockchain Games,"Gaming, Studio",40000000
Unknown,29-03-2022,Garena,Alt9,Gaming,25000000
